prime,target,same_category,wordness,soa,block
鸭子,萄子,True,False,0.15,1
西北,蜜蜂,False,True,0.35,1
戒指,领带,True,True,0.35,1
蜘蛛,德国,False,True,0.15,1
螳螂,翠鸟,False,True,0.15,1
激动,阳光,False,True,0.15,1
马车,火车,True,True,0.15,1
松鼠,豹子,True,True,0.15,1
游泳,滑雪,True,True,0.15,1
水饺,包子,True,True,0.35,1
悲伤,胡球,True,False,0.35,1
巴黎,网帘,True,False,0.15,1
二月,裤子,False,True,0.15,1
马车,地铁,True,True,0.15,1
后面,右边,True,True,0.35,1
会计,经理,True,True,0.15,1
女儿,哥哥,True,True,0.15,1
牙齿,德里,False,True,0.35,1
蜘蛛,内衣,False,True,0.35,1
印度,瀑布,False,True,0.15,1
包子,米饭,True,True,0.35,1
冰雹,卜生,False,False,0.35,1
打雷,医国,False,False,0.15,1
馅饼,水饺,True,True,0.15,1
阿姨,食盐,False,True,0.35,1
包子,底边,False,False,0.15,1
蝴蝶,桌子,False,True,0.35,1
台灯,陈醋,False,True,0.15,1
蜘蛛,胳膊,False,True,0.15,1
土豆,葡琵,False,False,0.35,1
闰月,伤雀,True,False,0.35,1
芹菜,孔雀,False,True,0.35,1
香水,奶油,True,False,0.35,1
台风,爸典,False,False,0.35,1
大风,阳光,True,True,0.15,1
包子,橱铁,True,False,0.35,1
哥哥,沙拉,False,True,0.15,1
河流,流歌,True,False,0.35,1
法国,英国,True,True,0.35,1
西瓜,海洋,False,True,0.35,1
击剑,垒球,True,True,0.35,1
棒球,足球,True,True,0.15,1
大蒜,胡椒,True,True,0.15,1
烧卖,表哥,False,True,0.15,1
长笛,皮激,False,False,0.15,1
土豆,雷雨,False,True,0.35,1
湖泊,粽子,False,True,0.35,1
啤酒,牛奶,True,True,0.35,1
癫痫,感冒,True,True,0.35,1
台灯,台纽,True,False,0.15,1
埃及,短裙,False,True,0.15,1
项链,台灯,False,True,0.35,1
西南,右边,True,True,0.35,1
女儿,表哥,True,True,0.35,1
打雷,胡湖,False,False,0.15,1
阳光,飓风,True,True,0.35,1
番茄,手套,False,True,0.15,1
五月,九月,True,True,0.35,1
丈夫,滑灯,False,False,0.15,1
轮船,火车,True,True,0.15,1
左边,前面,True,True,0.35,1
粽子,粽偏,True,False,0.15,1
古筝,长号,True,True,0.35,1
顶部,夹克,False,True,0.35,1
巴士,黄瓜,False,True,0.15,1
网球,机姜,True,False,0.35,1
闪电,电视,False,True,0.35,1
十月,医生,False,True,0.15,1
儿子,姐姐,True,True,0.35,1
麻雀,海鸥,True,True,0.35,1
曼谷,激西,False,False,0.35,1
篮球,幸雨,False,False,0.35,1
发烧,中国,False,True,0.35,1
发烧,咳嗽,True,True,0.35,1
愉快,生气,True,True,0.35,1
英国,美国,True,True,0.35,1
沮丧,雷雨,False,True,0.15,1
手掌,皮带,False,True,0.35,1
黑管,电视,False,True,0.35,1
冰箱,发叔,True,False,0.15,1
冰雹,洪水,True,True,0.35,1
发烧,面条,False,True,0.15,1
海洋,埃及,False,True,0.35,1
绿茶,香槟,True,True,0.15,1
戒指,牙齿,False,True,0.35,1
大鼓,香手,False,False,0.35,1
一月,七月,True,True,0.35,1
小溪,货车,False,True,0.15,1
冰箱,地毯,True,True,0.15,1
豹子,手掌,False,True,0.35,1
外套,鹅雷,True,False,0.35,2
东京,纽约,True,True,0.15,2
馅饼,皮九,True,False,0.15,2
鸭子,海鸥,True,True,0.15,2
面条,雅典,False,True,0.15,2
毛虫,八月,False,True,0.15,2
地毯,暴雨,False,True,0.35,2
厨师,律师,True,True,0.15,2
右边,上边,True,True,0.35,2
小溪,秘书,False,True,0.35,2
沙漠,冰川,True,True,0.15,2
项链,大象,False,True,0.15,2
毛衣,外套,True,True,0.15,2
大雾,打雷,True,True,0.15,2
短裙,华琵,False,False,0.35,2
香槟,茄齿,True,False,0.15,2
鸭子,天鹅,True,True,0.35,2
演员,酱油,False,True,0.15,2
教师,牙医,True,True,0.35,2
臭虫,甲虫,True,True,0.35,2
北京,河流,False,True,0.35,2
鸭子,溪茶,True,False,0.15,2
东南,上边,True,True,0.35,2
啤酒,莴苣,False,True,0.15,2
西南,长裤,False,True,0.35,2
网球,莴苣,False,True,0.15,2
希腊,韩国,True,True,0.15,2
闰月,冰箱,False,True,0.15,2
翠鸟,海鸥,True,True,0.15,2
沮丧,困惑,True,True,0.15,2
中国,日本,True,True,0.15,2
经理,哥哥,False,True,0.35,2
生姜,香料,True,True,0.15,2
熊猫,演员,False,True,0.15,2
鼻子,嘴唇,True,True,0.35,2
蚂蚁,四月,False,True,0.35,2
卡车,巴士,True,True,0.35,2
马车,运河,False,True,0.15,2
鞋子,边蚊,False,False,0.35,2
豌豆,鼻子,False,True,0.15,2
海洋,演天,True,False,0.15,2
短裤,毛衣,True,True,0.15,2
悲伤,装岸,True,False,0.15,2
希腊,韩国,True,True,0.15,2
野猪,老虎,True,True,0.35,2
小溪,白酒,False,True,0.15,2
疟疾,感冒,True,True,0.35,2
耳朵,眼睛,True,True,0.35,2
西北,右边,True,True,0.35,2
潜艇,马车,True,True,0.35,2
短裤,本动,True,False,0.35,2
癫痫,食盐,False,True,0.15,2
北京,开罗,True,True,0.15,2
乌鸦,鹦鹉,True,True,0.35,2
飞机,摩托,True,True,0.35,2
英国,长号,False,True,0.15,2
翠鸟,网球,False,True,0.35,2
布丁,吉他,False,True,0.15,2
埃及,莓纽,False,False,0.15,2
美国,牙奶,False,False,0.35,2
馅饼,土豆,False,True,0.35,2
暴雨,医感,True,False,0.35,2
米酒,台球,False,True,0.35,2
经理,蚱难,True,False,0.15,2
河流,湖泊,True,True,0.35,2
喉咙,土二,True,False,0.35,2
茄子,曼谷,False,True,0.35,2
表哥,曼谷,False,True,0.15,2
粽子,飞机,False,True,0.15,2
黑熊,兴奋,False,True,0.35,2
华沙,伦敦,True,True,0.35,2
生菜,短二,False,False,0.35,2
肺炎,南发,False,False,0.15,2
牛奶,啤酒,True,True,0.35,2
东南,激潜,False,False,0.15,2
激动,妈妈,False,True,0.35,2
雷雨,冰雹,True,True,0.35,2
冰箱,四月,False,True,0.35,2
演员,台子,False,False,0.15,2
围巾,手掌,False,True,0.35,2
粽子,教师,False,True,0.15,2
警察,护士,True,True,0.35,2
沙滩,流饺,False,False,0.15,2
手臂,师头,False,False,0.35,2
潜艇,果爸,False,False,0.35,2
沙滩,桃快,True,False,0.15,2
鼻子,菠菜,False,True,0.35,2
十月,演员,False,True,0.35,2
孔雀,海鸥,True,True,0.15,2
肺炎,鸭子,False,True,0.35,2
小溪,包瓜,False,False,0.15,3
中风,医生,False,True,0.15,3
飞机,拉虫,False,False,0.15,3
感冒,黑管,False,True,0.35,3
奶茶,柠檬,False,True,0.35,3
钱包,皮带,True,True,0.35,3
希腊,波兰,True,True,0.35,3
雷雨,洪水,True,True,0.15,3
害怕,桌瓜,True,False,0.35,3
阿姨,愉快,False,True,0.35,3
电视,椅子,True,True,0.15,3
蜘蛛,鹰月,False,False,0.35,3
胳膊,手臂,True,True,0.35,3
激动,害怕,True,True,0.35,3
感冒,偏瘫,True,True,0.15,3
兴奋,网球,False,True,0.15,3
生气,困惑,True,True,0.15,3
伦敦,咳阳,False,False,0.15,3
豌豆,琵子,True,False,0.35,3
老鹰,乌鸦,True,True,0.35,3
鸭子,孔雀,True,True,0.35,3
阿姨,女儿,True,True,0.15,3
山羊,睛领,False,False,0.15,3
斑马,汽福,False,False,0.35,3
手掌,手臂,True,True,0.15,3
四月,十月,True,True,0.35,3
叔叔,表哥,True,True,0.15,3
黄油,陈醋,True,True,0.15,3
梨子,苹果,True,True,0.15,3
摩托,汽车,True,True,0.35,3
演员,经理,True,True,0.35,3
天鹅,乌鸦,True,True,0.35,3
食盐,飞蛾,False,True,0.15,3
咳嗽,哥圆,False,False,0.35,3
烧卖,烧英,True,False,0.15,3
钱包,领带,True,True,0.15,3
英国,惑林,True,False,0.15,3
地毯,儿子,False,True,0.35,3
公鸡,夹克,False,True,0.35,3
阳光,悲伤,False,True,0.35,3
粽子,黑熊,False,True,0.35,3
西装,长裤,True,True,0.15,3
篮球,表哥,False,True,0.35,3
竖琴,足球,False,True,0.35,3
牙齿,球雪,True,False,0.35,3
柠檬,芒果,True,True,0.15,3
沙漠,粽子,False,True,0.35,3
蛋糕,美疾,True,False,0.15,3
萝卜,七菜,True,False,0.35,3
蜘蛛,蚊子,True,True,0.35,3
萝卜,韩国,False,True,0.15,3
冰川,奶茶,False,True,0.15,3
芒果,豹子,False,True,0.15,3
梨子,橙子,True,True,0.35,3
南瓜,桌子,False,True,0.35,3
火山,河流,True,True,0.15,3
窗帘,香提,True,False,0.15,3
狮子,豹子,True,True,0.35,3
排球,川东,True,False,0.15,3
希腊,埃及,True,True,0.15,3
律师,滑苹,False,False,0.35,3
