trial_num,prime,target,wordness
1,击剑,煎饼,True
2,中国,巴黎,True
3,蜘蛛,阳光,True
4,嘴唇,害怕,True
5,冰箱,戒指,True
6,电车,害天,False
7,粽七,芒果,False
8,大蒜,痛苦,True
9,感冒,前面,True
10,枕头,蜜蜂,True
11,帽子,癌德,False
12,椅子,东北,True
13,豌豆,网南,False
14,台经,香水,False
15,咖啡,夹克,True
16,华八,海鸥,False
17,台灯,胡椒,True
18,森林,手套,True
19,白糖,黑熊,True
20,大鼓,肺游,False
21,酱油,困惑,True
22,香料,经理,True
23,果汁,小号,True
24,眼睛,飓风,True
25,果酒,绿茶,True
26,山羊,游泳,True
27,湖泊,上农,False
28,包子,日台,False
29,白酒,鞋子,True
30,黑管,白糖,True
31,飞蛾,印度,True
32,肺游,货车,False
33,轮船,洋葱,True
34,孔雀,布丁,True
35,美国,电灯,True
36,舌头,香酱,False
37,菠萝,胳卡,False
38,滑雪,日本,True
39,法国,大蒜,True
40,华沙,愉快,True
41,小溪,暴雨,True
42,萝面,河流,False
43,潜艇,歌手,True
44,演员,表姐,True
45,农历,八月,True
46,激动,果汁,True
47,螳皮,秘书,False
48,鞋子,闪电,True
49,长号,耳香,False
50,地毯,女儿,True
51,喉咙,曼谷,True
52,内裤,圆号,True
53,熊猫,山野,False
54,狮子,兴奋,True
55,法蜜,闰月,False
56,螳螂,网球,True
57,手臂,窗釜,False
58,裤子,馄饨,True
59,山野,演员,False
60,马车,美国,True
61,电视,卡车,True
62,悲奶,美国,False
63,妻子,华八,False
64,电儿,害怕,False
65,臭虫,长裤,True
66,德国,白酒,True
67,疟疾,沙拉,True
68,咳嗽,眼睛,True
69,短裙,电果,False
70,椅律,后面,False
71,围巾,袜吉,False
72,伦中,女儿,False
73,十月,麻雀,True
74,手掌,农历,True
75,东京,轮表,False
76,琵琶,眼果,False
77,土豆,流感,True
78,丈夫,额头,True
79,害怕,米酒,True
80,垒球,跑步,True
81,企鹅,馅饼,True
82,松鼠,闰月,True
83,香槟,咖内,False
84,电果,台球,False
85,竖琴,教师,True
86,老印,嘴唇,False
87,闪电,沙漠,True
88,沙滩,茄子,True
89,律师,咳嗽,True
90,偏瘫,肿瘤,True
91,愉快,野猪,True
92,袜子,红茶,True
93,英国,莴苣,True
94,樱桃,钢琴,True
95,歌手,上边,True
96,波兰,香二,False
97,女儿,枕头,True
98,下边,中国,True
99,害天,中国,False
100,沙发,小短,False
101,泰国,企鹅,True
102,短裤,中风,True
103,发烧,粽子,True
104,蛋糕,螳皮,False
105,鼻菠,飞蛾,False
106,海鸥,小溪,True
107,表姐,四月,True
108,戒指,橱柜,True
109,纽约,萝面,False
110,七月,滑雪,True
111,沙漠,悲伤,True
112,大腿,疟韩,False
113,甲虫,台经,False
114,野猪,台球,True
115,蚂蚁,沙顶,False
116,夹巴,牙齿,False
117,胡椒,生菜,True
118,内右,蚊子,False
119,公鸡,顶部,True
120,米饭,德里,True
121,莴苣,水饺,True
122,歌困,五月,False
123,兴奋,激动,True
124,激喉,打雷,False
125,台球,乌鸦,True
126,大象,潜艇,True
127,眼果,难过,False
128,绿茶,狮子,True
129,钢琴,冰川,True
130,底部,公鸡,True
131,黄货,妈妈,False
132,梨公,儿子,False
133,洋葱,十月,True
134,中松,伦敦,False
135,牛奶,老虎,True
136,九月,海洋,True
137,耳香,手掌,False
138,粽子,六月,True
139,小短,豹子,False
140,茄子,打雷,True
141,五月,垒球,True
142,运河,后面,True
143,地铁,沙滩,True
144,老鹰,牙医,True
145,果茶,嘴唇,True
146,番茄,乌流,False
147,三月,大象,True
148,经理,冰雹,True
149,桌子,抽屉,True
150,叔叔,耳朵,True
151,提琴,辣果,False
152,痛苦,鹦鹉,True
153,护士,伦中,False
154,棒球,耳环,True
155,会计,粽七,False
156,西瓜,英国,True
157,小号,土豆,True
158,麻西,雷雨,False
159,香水,下边,True
160,沙顶,釜山,False
161,洪水,香料,True
162,悲伤,货车,True
163,暴雨,九月,True
164,食盐,演员,True
165,煎饼,埃及,True
166,麋鹿,白六,False
167,耳环,发烧,True
168,抽屉,癫痫,True
169,衬衫,痛食,False
170,北京,内右,False
171,火山,法国,True
172,大风,冰箱,True
173,鸭子,冰河,False
174,手爸,老鹰,False
175,巴黎,樱桃,True
176,火车,鞋棒,False
177,大冰,松鼠,False
178,日本,医生,True
179,厨师,击牙,False
180,长笛,内衣,True
181,顶部,叔叔,True
182,巴士,手莴,False
183,妈妈,丈夫,True
184,肺炎,河流,True
185,辣果,九月,False
186,老虎,咖啡,True
187,女瀑,斑马,False
188,货车,米饭,True
189,内衣,食盐,True
190,冰雹,豹子,True
191,难过,毛虫,True
192,黄油,电儿,False
193,胳卡,二月,False
194,流感,梨子,True
195,葡萄,鸽子,True
196,河流,松鼠,True
197,领带,黄货,False
198,医生,雷雨,True
199,毛虫,三月,True
200,二月,山羊,True
201,篮球,激喉,False
202,台风,南瓜,True
203,水饺,台灯,True
204,柏林,香水,True
205,排球,夹巴,False
206,窗釜,沮丧,False
207,烧卖,老印,False
208,奶茶,斑马,True
209,芹菜,击剑,True
210,鹦沙,小号,False
211,表哥,牛奶,True
212,咖喱,底部,True
213,面条,嫉妒,True
214,台大,鼻子,False
215,项链,手爸,False
216,埃及,牙齿,True
217,疟韩,拳击,False
218,雷雨,苹果,True
219,西南,女瀑,False
220,轮表,短裤,False
221,肿瘤,马车,True
222,痛食,冰箱,False
223,爸爸,棒球,True
224,四月,萝卜,True
225,右边,老鹰,True
226,东南,叔飓,False
227,六月,沮丧,True
228,瀑布,芹菜,True
229,开罗,摩托,True
230,生菜,长笛,True
231,雪花,头痛,True
232,芒果,辣椒,True
233,黑熊,飞蛾,True
234,曼谷,表哥,True
235,生气,法蜜,False
236,香蕉,森林,True
237,白六,鸽子,False
238,网球,咖喱,True
239,香草,黑管,True
240,钱包,肺炎,True
241,姐姐,鹦沙,False
242,苹果,开罗,True
243,豹子,秘书,True
244,游泳,轮船,True
245,陈醋,中松,False
246,长裤,喉咙,True
247,蚊子,五月,True
248,布丁,西瓜,True
249,桃子,警察,True
250,阿姨,台大,False
251,嫉妒,华沙,True
252,辣椒,火山,True
253,大雾,汽车,True
254,左边,鼻菠,False
255,吉他,胳膊,True
256,阳光,律师,True
257,牙齿,皮带,True
258,伦敦,二月,True
259,足球,运河,True
260,生姜,爸爸,True
261,西鸽,印度,False
262,癌德,律师,False
263,飓风,草莓,True
264,翠鸟,韩国,True
265,鞋棒,椅子,False
266,飞机,悲奶,False
267,柠檬,十长,False
268,海嫉,歌手,False
269,奶牛,苍蝇,True
270,哥哥,牛老,False
271,蚂蚱,癌症,True
272,叔飓,飓风,False
273,教师,奶茶,True
274,卡车,手掌,True
275,儿子,地毯,True
276,韩国,感冒,True
277,橙子,麻西,False
278,梨子,鼻子,True
279,馄饨,蜘蛛,True
