trial_num,prime,target,wordness
1,barn,pie,True
2,China,Toronto,True
3,spider,sun,True
4,lip,fear,True
5,oven,pearl,True
6,cab,shart,False
7,gean,mango,False
8,garlic,shame,True
9,nausea,carbon,True
10,bed,bee,True
11,hat,usen,False
12,chair,silver,True
13,pea,sorfury,False
14,plang,perfume,False
15,coffee,jacket,True
16,wartic,robin,False
17,cup,pepper,True
18,forest,glove,True
19,sugar,bear,True
20,drum,barbet,False
21,sauce,shock,True
22,spice,poet,True
23,juice,horn,True
24,eye,tornado,True
25,gin,tea,True
26,sheep,gym,True
27,lake,nurge,False
28,bread,sluck,False
29,wine,shoe,True
30,clarinet,sugar,True
31,wasp,India,True
32,stoe,van,False
33,ship,bean,True
34,canary,pork,True
35,America,lamp,True
36,tongue,billo,False
37,olive,teece,False
38,school,Japan,True
39,France,garlic,True
40,Sydney,smile,True
41,stream,storm,True
42,mife,river,False
43,boat,priest,True
44,pilot,nephew,True
45,noon,century,True
46,relief,juice,True
47,stoge,secretary,False
48,shoe,dust,True
49,trumpet,corron,False
50,carpet,daughter,True
51,throat,Bangkok,True
52,nylon,viola,True
53,cat,revieu,False
54,lion,joy,True
55,harc,decade,False
56,roach,chapel,True
57,foot,billo,False
58,jean ,candy,True
59,halm,pilot,False
60,ford,America,True
61,radio,truck,True
62,baseta,America,False
63,wife,cug,False
64,dore,fear,False
65,bug,dress,True
66,Germany,wine,True
67,fatigue,salad,True
68,cough,eye,True
69,skirt,cug,False
70,miet,oxygen,False
71,scarf,teece,False
72,niote,daughter,False
73,clock,finch,True
74,hand,noon,True
75,Tokyo,silol,False
76,bass,sorfury,False
77,potato,flu,True
78,husband,head,True
79,fear,whiskey,True
80,castle,library,True
81,penguin,pizza,True
82,fox,decade,True
83,champagne,eudre,False
84,cootle,hall,False
85,harp,tutor,True
86,adfle,lip,False
87,dust,rock,True
88,beach,corn,True
89,attorney,cough,True
90,syndrome,tumor,True
91,smile,pig,True
92,sock,coke,True
93,Spain,lettuce,True
94,cherry,piano,True
95,priest,mercury,True
96,Russia,rab,False
97,daughter,bed,True
98,aluminum,China,True
99,clead,China,False
100,couch,pirka,False
101,Brazil,penguin,True
102,cotton ,stroke,True
103,fever,cheese,True
104,cake,fluse,False
105,osill,wasp,False
106,robin,stream,True
107,nephew,night,True
108,pearl,cabinet,True
109,York,carty,False
110,hour,school,True
111,rock,tear,True
112,leg,nattew,False
113,beetle,stoe,False
114,pig,hall,True
115,ant,sark,False
116,osill,teeth,False
117,pepper,cabbage,True
118,silat,mosquito,False
119,eagle,neon,True
120,rice,Delhi,True
121,lettuce,beef,True
122,ruoin,month,False
123,joy,relief,True
124,miet,cloud,False
125,hall,crow,True
126,elephant,boat,True
127,clead,grief ,False
128,tea,lion,True
129,piano,cave,True
130,sodium,eagle,True
131,plang,mom,False
132,rab,son,False
133,bean,clock,True
134,jakel,Austin,False
135,milk,tiger,True
136,minute,sea,True
137,revieu,hand,False
138,cheese,period,True
139,tead,wolf,False
140,corn,cloud,True
141,month,castle,True
142,canal,oxygen,True
143,taxi,beach,True
144,hawk,architect,True
145,soda,lip,True
146,tomato,pery,False
147,week,elephant,True
148,poet,hail,True
149,table,shelf,True
150,uncle,ear,True
151,violin,onche,False
152,shame,falcon,True
153,nurse,wartic,False
154,church,jewel,True
155,captain,wartic,False
156,melon,Spain,True
157,horn,potato,True
158,chimel,rain,False
159,perfume,aluminum,True
160,cantot,Detroit,False
161,flood,spice,True
162,tear,van,True
163,storm,minute,True
164,salt,pilot,True
165,pie,Egypt,True
