index,prime_condition,target_condition,prime_word,target_word
0,165P,1T,击剑,煎饼
1,175P,2T,中国,巴黎
2,256P,3T,蜘蛛,阳光
3,79P,4T,嘴唇,害怕
4,108P,5T,冰箱,戒指
5,152P,8T,大蒜,痛苦
6,309P,9T,感冒,前面
7,317P,10T,枕头,蜜蜂
8,293P,12T,椅子,东北
9,310P,15T,咖啡,夹克
10,117P,17T,台灯,胡椒
11,356P,18T,森林,手套
12,233P,19T,白糖,黑熊
13,311P,21T,酱油,困惑
14,148P,22T,香料,经理
15,157P,23T,果汁,小号
16,263P,24T,眼睛,飓风
17,128P,25T,果酒,绿茶
18,244P,26T,山羊,游泳
19,48P,29T,白酒,鞋子
20,19P,30T,黑管,白糖
21,328P,31T,飞蛾,印度
22,133P,33T,轮船,洋葱
23,248P,34T,孔雀,布丁
24,316P,35T,美国,电灯
25,178P,38T,滑雪,日本
26,8P,39T,法国,大蒜
27,91P,40T,华沙,愉快
28,163P,41T,小溪,暴雨
29,95P,43T,潜艇,歌手
30,107P,44T,演员,表姐
31,335P,45T,农历,八月
32,23P,46T,激动,果汁
33,87P,48T,鞋子,闪电
34,97P,50T,地毯,女儿
35,234P,51T,喉咙,曼谷
36,302P,52T,内裤,圆号
37,123P,54T,狮子,兴奋
38,238P,56T,螳螂,网球
39,279P,58T,裤子,馄饨
40,35P,60T,马车,美国
41,274P,61T,电视,卡车
42,246P,65T,臭虫,长裤
43,29P,66T,德国,白酒
44,294P,67T,疟疾,沙拉
45,24P,68T,咳嗽,眼睛
46,288P,73T,十月,麻雀
47,45P,74T,手掌,农历
48,194P,77T,土豆,流感
49,354P,78T,丈夫,额头
50,297P,79T,害怕,米酒
51,344P,80T,垒球,跑步
52,359P,81T,企鹅,馅饼
53,333P,82T,松鼠,闰月
54,273P,85T,竖琴,教师
55,111P,87T,闪电,沙漠
56,140P,88T,沙滩,茄子
57,68P,89T,律师,咳嗽
58,221P,90T,偏瘫,肿瘤
59,114P,91T,愉快,野猪
60,315P,92T,袜子,红茶
61,121P,93T,英国,莴苣
62,129P,94T,樱桃,钢琴
63,314P,95T,歌手,上边
64,10P,97T,女儿,枕头
65,2P,98T,下边,中国
66,81P,101T,泰国,企鹅
67,358P,102T,短裤,中风
68,138P,103T,发烧,粽子
69,41P,106T,海鸥,小溪
70,224P,107T,表姐,四月
71,313P,108T,戒指,橱柜
72,38P,110T,七月,滑雪
73,162P,111T,沙漠,悲伤
74,125P,114T,野猪,台球
75,230P,117T,胡椒,生菜
76,181P,119T,公鸡,顶部
77,296P,120T,米饭,德里
78,203P,121T,莴苣,水饺
79,46P,123T,兴奋,激动
80,349P,125T,台球,乌鸦
81,43P,126T,大象,潜艇
82,54P,128T,绿茶,狮子
83,324P,129T,钢琴,冰川
84,119P,130T,底部,公鸡
85,73P,133T,洋葱,十月
86,186P,135T,牛奶,老虎
87,345P,136T,九月,海洋
88,227P,138T,粽子,六月
89,351P,140T,茄子,打雷
90,80P,141T,五月,垒球
91,291P,142T,运河,后面
92,88P,143T,地铁,沙滩
93,280P,144T,老鹰,牙医
94,4P,145T,果茶,嘴唇
95,126P,147T,三月,大象
96,190P,148T,经理,冰雹
97,168P,149T,桌子,抽屉
98,282P,150T,叔叔,耳朵
99,319P,152T,痛苦,鹦鹉
100,167P,154T,棒球,耳环
101,93P,156T,西瓜,英国
102,77P,157T,小号,土豆
103,98P,159T,香水,下边
104,22P,161T,洪水,香料
105,188P,162T,悲伤,货车
106,136P,163T,暴雨,九月
107,44P,164T,食盐,演员
108,216P,165T,煎饼,埃及
109,103P,167T,耳环,发烧
110,323P,168T,抽屉,癫痫
111,39P,171T,火山,法国
112,5P,172T,大风,冰箱
113,94P,175T,巴黎,樱桃
114,198P,178T,日本,医生
115,189P,180T,长笛,内衣
116,150P,181T,顶部,叔叔
117,78P,183T,妈妈,丈夫
118,196P,184T,肺炎,河流
119,15P,186T,老虎,咖啡
120,120P,188T,货车,米饭
121,164P,189T,内衣,食盐
122,243P,190T,冰雹,豹子
123,199P,191T,难过,毛虫
124,278P,194T,流感,梨子
125,350P,195T,葡萄,鸽子
126,82P,196T,河流,松鼠
127,218P,198T,医生,雷雨
128,147P,199T,毛虫,三月
129,26P,200T,二月,山羊
130,332P,202T,台风,南瓜
131,17P,203T,水饺,台灯
132,159P,204T,柏林,香水
133,299P,208T,奶茶,斑马
134,1P,209T,芹菜,击剑
135,135P,211T,表哥,牛奶
136,130P,212T,咖喱,底部
137,251P,213T,面条,嫉妒
138,257P,216T,埃及,牙齿
139,242P,218T,雷雨,苹果
140,60P,221T,肿瘤,马车
141,154P,223T,爸爸,棒球
142,348P,224T,四月,萝卜
143,144P,225T,右边,老鹰
144,306P,227T,六月,沮丧
145,209P,228T,瀑布,芹菜
146,338P,229T,开罗,摩托
147,180P,230T,生菜,长笛
148,360P,231T,雪花,头痛
149,252P,232T,芒果,辣椒
150,31P,233T,黑熊,飞蛾
151,211P,234T,曼谷,表哥
152,18P,236T,香蕉,森林
153,212P,238T,网球,咖喱
154,30P,239T,香草,黑管
155,184P,240T,钱包,肺炎
156,229P,242T,苹果,开罗
157,325P,243T,豹子,秘书
158,33P,244T,游泳,轮船
159,51P,246T,长裤,喉咙
160,141P,247T,蚊子,五月
161,156P,248T,布丁,西瓜
162,287P,249T,桃子,警察
163,40P,251T,嫉妒,华沙
164,171P,252T,辣椒,火山
165,303P,253T,大雾,汽车
166,340P,255T,吉他,胳膊
167,89P,256T,阳光,律师
168,353P,257T,牙齿,皮带
169,200P,258T,伦敦,二月
170,142P,259T,足球,运河
171,223P,260T,生姜,爸爸
172,284P,263T,飓风,草莓
173,276P,264T,翠鸟,韩国
174,307P,269T,奶牛,苍蝇
175,329P,271T,蚂蚱,癌症
176,208P,273T,教师,奶茶
177,74P,274T,卡车,手掌
178,50P,275T,儿子,地毯
179,9P,276T,韩国,感冒
180,343P,278T,梨子,鼻子
181,3P,279T,馄饨,蜘蛛
182,236P,280T,牙医,香蕉
183,247P,281T,雅典,蚊子
184,195P,282T,耳朵,葡萄
185,253P,283T,菠菜,大雾
186,225P,284T,草莓,右边
187,143P,287T,警察,地铁
188,52P,288T,麻雀,内裤
189,264P,291T,后面,翠鸟
190,101P,293T,东北,泰国
191,213P,294T,沙拉,面条
192,161P,295T,西北,洪水
193,334P,296T,德里,黄瓜
194,106P,297T,米酒,海鸥
195,232P,299T,斑马,芒果
196,61P,301T,天鹅,电视
197,228P,302T,圆号,瀑布
198,202P,303T,汽车,台风
199,183P,305T,拳击,妈妈
200,58P,306T,沮丧,裤子
201,25P,307T,苍蝇,果酒
202,321P,309T,前面,窗帘
203,327P,310T,夹克,一月
204,259P,311T,困惑,足球
205,92P,313T,橱柜,袜子
206,231P,314T,上边,雪花
207,67P,315T,红茶,疟疾
208,283P,316T,电灯,菠菜
209,102P,317T,蜜蜂,短裤
210,255P,319T,鹦鹉,吉他
211,239P,321T,窗帘,香草
212,56P,323T,癫痫,螳螂
213,357P,324T,冰川,釜山
214,301P,325T,秘书,天鹅
215,269P,327T,一月,奶牛
216,149P,328T,印度,桌子
217,34P,329T,癌症,孔雀
218,191P,330T,皮包,难过
219,145P,332T,南瓜,果茶
220,249P,333T,闰月,桃子
221,352P,334T,黄瓜,西装
222,66P,335T,八月,德国
223,12P,338T,摩托,椅子
224,65P,340T,胳膊,臭虫
225,305P,343T,鼻子,拳击
226,204P,344T,跑步,柏林
227,258P,345T,海洋,伦敦
228,90P,348T,萝卜,偏瘫
229,21P,349T,乌鸦,酱油
230,172P,350T,鸽子,大风
231,330P,351T,打雷,皮包
232,260P,352T,西装,生姜
233,240P,353T,皮带,钱包
234,281P,354T,额头,雅典
235,295P,356T,手套,西北
236,275P,357T,釜山,儿子
237,271P,358T,中风,蚂蚱
238,85P,359T,馅饼,竖琴
239,110P,360T,头痛,七月
